,discount_offer,more_details,vendor_image,vendor_name
0,10%,https://allied-web.peekaboo.guru/abbottabad/detail/1035/bata?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/batanewlogo_7f8e1052-f0d1-4792-9d5e-be31f951f1c9-429.jpeg,Bata
1,15%,https://allied-web.peekaboo.guru/abbottabad/detail/16123/blue-pine-retreat?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/bluepineretreatlogo_1fab8222-cf43-4a7a-a298-c6e8c99854ea-492.jpeg,Blue Pine Retreat
2,"Up to

35%",https://allied-web.peekaboo.guru/abbottabad/detail/226/chughtai-lab?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/chughtailablogo_1e8d2778-ed42-4f43-bb39-c472b1765146-986.jpeg,Chughtai Lab
3,8%,https://allied-web.peekaboo.guru/abbottabad/detail/1543/daraz?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_22be5f28-d9d4-427d-947e-3c5569a465c6-230.jpeg,Daraz
4,15%,https://allied-web.peekaboo.guru/abbottabad/detail/142/depilex?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/depilexnewlogo_ec12d984-d33d-4f37-9515-dff1c54c6f6c-770.jpeg,Depilex
5,30%,https://allied-web.peekaboo.guru/abbottabad/detail/1477/dhl?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/7a0d0043-cb5e-4ea4-8dc4-7c54c3b7e520-203.jpg,DHL
6,"Up to

14%",https://allied-web.peekaboo.guru/abbottabad/detail/27197/healthwire?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/healthwirelogo_68e2d73f-5c9c-4ab1-88d9-d313821568cb-25.jpeg,Healthwire
7,15%,https://allied-web.peekaboo.guru/abbottabad/detail/13886/laptab?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/2f8a6a08-4713-4605-85c5-df13fd91fa37-753.jpeg,Laptab
8,"Up to

25%",https://allied-web.peekaboo.guru/abbottabad/detail/264/liberty-books?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/libertybookslogo_d9ffd572-e400-4c57-bab2-a66ef2827dd5-2.jpeg,Liberty Books
9,"Flat

15%",https://allied-web.peekaboo.guru/abbottabad/detail/914/metro-shoes?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/509708b3-ffff-407d-afeb-d25f8a2e97a9-597.jpg,Metro Shoes
10,15%,https://allied-web.peekaboo.guru/abbottabad/detail/267/motifz?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/motifz_c53fd769-cd0c-443b-b2c8-817a71213262-548.jpeg,Motifz
11,"Up to

20%",https://allied-web.peekaboo.guru/abbottabad/detail/1976/mrcod?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/mrcodlogo_3c55f6ce-de68-46f3-8b6c-3f1edbafcaed-170.jpeg,Mr.COD
