,discount_offer,more_details,vendor_image,vendor_name
0,10%,https://allied-web.peekaboo.guru/gujrat/detail/1035/bata?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/batanewlogo_7f8e1052-f0d1-4792-9d5e-be31f951f1c9-429.jpeg,Bata
1,"Up to

35%",https://allied-web.peekaboo.guru/gujrat/detail/226/chughtai-lab?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/chughtailablogo_1e8d2778-ed42-4f43-bb39-c472b1765146-986.jpeg,Chughtai Lab
2,8%,https://allied-web.peekaboo.guru/gujrat/detail/1543/daraz?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_22be5f28-d9d4-427d-947e-3c5569a465c6-230.jpeg,Daraz
3,30%,https://allied-web.peekaboo.guru/gujrat/detail/1477/dhl?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/7a0d0043-cb5e-4ea4-8dc4-7c54c3b7e520-203.jpg,DHL
4,30%,https://allied-web.peekaboo.guru/gujrat/detail/94/dominos-pizza-pakistan?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_0f765a66-fcb0-4f91-8b35-6eab53635f7a-905.jpeg,Domino's Pizza Pakistan
5,"Up to

25%",https://allied-web.peekaboo.guru/gujrat/detail/306/dr-essa-laboratory--diagnostic-centre?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/essalabnewlogo2_b5d23429-fb91-41da-95e6-b3ac6ed6c22b-714.jpeg,Dr Essa Laboratory & Diagnostic Centre
6,"Up to

30%",https://allied-web.peekaboo.guru/gujrat/detail/282/hardees?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_af7d96f9-bd6a-4cee-bb85-1d8911deca30-796.jpeg,Hardee's
7,"Up to

14%",https://allied-web.peekaboo.guru/gujrat/detail/27197/healthwire?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/healthwirelogo_68e2d73f-5c9c-4ab1-88d9-d313821568cb-25.jpeg,Healthwire
8,15%,https://allied-web.peekaboo.guru/gujrat/detail/13886/laptab?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/2f8a6a08-4713-4605-85c5-df13fd91fa37-753.jpeg,Laptab
9,"Up to

25%",https://allied-web.peekaboo.guru/gujrat/detail/264/liberty-books?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/libertybookslogo_d9ffd572-e400-4c57-bab2-a66ef2827dd5-2.jpeg,Liberty Books
10,"Flat

15%",https://allied-web.peekaboo.guru/gujrat/detail/914/metro-shoes?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/509708b3-ffff-407d-afeb-d25f8a2e97a9-597.jpg,Metro Shoes
11,"Up to

20%",https://allied-web.peekaboo.guru/gujrat/detail/16587/the-cress?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/thecressjlogo_3eb2b84f-d444-433d-9df1-58832b06e0b3-493.jpeg,The Cress
