,discount_offer,more_details,vendor_image,vendor_name
0,10%,https://allied-web.peekaboo.guru/multan/detail/1035/bata?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/batanewlogo_7f8e1052-f0d1-4792-9d5e-be31f951f1c9-429.jpeg,Bata
1,15%,https://allied-web.peekaboo.guru/multan/detail/62251/belmorris-hotels--resorts?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/belmorrislogo_d40a12ec-d84e-495f-83c3-8837a9107b19-627.jpeg,Belmorris Hotels & Resorts
2,"Up to

35%",https://allied-web.peekaboo.guru/multan/detail/87/broadway-pizza?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/LogoRecovered_2e26167d-2306-4804-8e06-883cd849aa84-117.jpeg,Broadway Pizza
3,"Up to

40%",https://allied-web.peekaboo.guru/multan/detail/275/burger-king?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/burgerkinglogo_9a9e910b-021a-4111-9772-6efc517a16cb-776.jpeg,Burger King
4,"Up to

40%",https://allied-web.peekaboo.guru/multan/detail/599/california-pizza?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/californiapizzajlogo_2edf97c6-747c-4a13-b3af-510d56a668f3-110.jpeg,California Pizza
5,"Up to

40%",https://allied-web.peekaboo.guru/multan/detail/1/chaaye-khana?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/9d159cd6-5993-4d58-b1b0-c34bd7ba2072-263.jpg,Chaaye Khana
6,20%,https://allied-web.peekaboo.guru/multan/detail/8194/chashni?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/a0f67df7-e6fe-4ac0-9191-8b6cf388f5ea-959.jpeg,Chashni
7,"Up to

40%",https://allied-web.peekaboo.guru/multan/detail/64/china-town?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/chinaTown_0f0cb245-4542-4a19-826b-44a7ca6d09b8-684.jpeg,China Town
8,"Up to

35%",https://allied-web.peekaboo.guru/multan/detail/226/chughtai-lab?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/chughtailablogo_1e8d2778-ed42-4f43-bb39-c472b1765146-986.jpeg,Chughtai Lab
9,8%,https://allied-web.peekaboo.guru/multan/detail/1543/daraz?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_22be5f28-d9d4-427d-947e-3c5569a465c6-230.jpeg,Daraz
10,30%,https://allied-web.peekaboo.guru/multan/detail/1477/dhl?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/7a0d0043-cb5e-4ea4-8dc4-7c54c3b7e520-203.jpg,DHL
11,30%,https://allied-web.peekaboo.guru/multan/detail/94/dominos-pizza-pakistan?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_0f765a66-fcb0-4f91-8b35-6eab53635f7a-905.jpeg,Domino's Pizza Pakistan
