,discount_offer,more_details,vendor_image,vendor_name
0,10%,https://allied-web.peekaboo.guru/murree/detail/1035/bata?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/batanewlogo_7f8e1052-f0d1-4792-9d5e-be31f951f1c9-429.jpeg,Bata
1,8%,https://allied-web.peekaboo.guru/murree/detail/1543/daraz?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_22be5f28-d9d4-427d-947e-3c5569a465c6-230.jpeg,Daraz
2,"Up to

40%",https://allied-web.peekaboo.guru/murree/detail/28429/garden-cafe---pc-bhurban?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/pearlcontinentalhotellogo_35864497-f23c-4b53-b981-40624357defb-903.jpeg,Garden Cafe - PC Bhurban
3,"Up to

14%",https://allied-web.peekaboo.guru/murree/detail/27197/healthwire?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/healthwirelogo_68e2d73f-5c9c-4ab1-88d9-d313821568cb-25.jpeg,Healthwire
4,15%,https://allied-web.peekaboo.guru/murree/detail/29169/khiva-garden-terraces-restaurant?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_9b4de03c-ed57-4305-bf45-1fa8ee45ef4f-710.gif,KHIVA Garden Terraces Restaurant
5,15%,https://allied-web.peekaboo.guru/murree/detail/13886/laptab?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/2f8a6a08-4713-4605-85c5-df13fd91fa37-753.jpeg,Laptab
6,"Up to

25%",https://allied-web.peekaboo.guru/murree/detail/264/liberty-books?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/libertybookslogo_d9ffd572-e400-4c57-bab2-a66ef2827dd5-2.jpeg,Liberty Books
7,"Flat

15%",https://allied-web.peekaboo.guru/murree/detail/914/metro-shoes?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/509708b3-ffff-407d-afeb-d25f8a2e97a9-597.jpg,Metro Shoes
8,"Up to

20%",https://allied-web.peekaboo.guru/murree/detail/1976/mrcod?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/mrcodlogo_3c55f6ce-de68-46f3-8b6c-3f1edbafcaed-170.jpeg,Mr.COD
9,"Up to

40%",https://allied-web.peekaboo.guru/murree/detail/505/nadia-coffee-shop?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/0d080504-308b-4667-92ad-8d69278ae8b8.jpg,Nadia Coffee Shop
10,"Up to

40%",https://allied-web.peekaboo.guru/murree/detail/1135/pearl-continental?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/2a2fdc96-8149-4d46-9ed4-49a4fd5c76ca-134.jpg,Pearl Continental
11,"Up to

30%",https://allied-web.peekaboo.guru/murree/detail/10144/shangrila-resort-hotel-murree?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/shangrlia_c88fdc94-2c81-4694-99bb-04e503a3d4b2-548.jpeg,Shangrila Resort Hotel Murree
