,discount_offer,more_details,vendor_image,vendor_name
0,10%,https://allied-web.peekaboo.guru/swat/detail/1035/bata?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/batanewlogo_7f8e1052-f0d1-4792-9d5e-be31f951f1c9-429.jpeg,Bata
1,"Up to

35%",https://allied-web.peekaboo.guru/swat/detail/226/chughtai-lab?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/chughtailablogo_1e8d2778-ed42-4f43-bb39-c472b1765146-986.jpeg,Chughtai Lab
2,8%,https://allied-web.peekaboo.guru/swat/detail/1543/daraz?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_22be5f28-d9d4-427d-947e-3c5569a465c6-230.jpeg,Daraz
3,"Up to

40%",https://allied-web.peekaboo.guru/swat/detail/54392/executive-lounge-pc-hotel?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_b2c97968-4230-436e-8bb0-e4069c490ba8-251.jpeg,Executive Lounge PC Hotel
4,"Up to

14%",https://allied-web.peekaboo.guru/swat/detail/27197/healthwire?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/healthwirelogo_68e2d73f-5c9c-4ab1-88d9-d313821568cb-25.jpeg,Healthwire
5,15%,https://allied-web.peekaboo.guru/swat/detail/13886/laptab?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/2f8a6a08-4713-4605-85c5-df13fd91fa37-753.jpeg,Laptab
6,"Up to

30%",https://allied-web.peekaboo.guru/swat/detail/64883/legrand-hotels--resorts?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/legrandlogo_ea4b70e1-5f32-4739-be90-39df4dde3f2d-845.jpeg,LeGrand Hotels & Resorts
7,"Up to

25%",https://allied-web.peekaboo.guru/swat/detail/264/liberty-books?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/libertybookslogo_d9ffd572-e400-4c57-bab2-a66ef2827dd5-2.jpeg,Liberty Books
8,"Flat

15%",https://allied-web.peekaboo.guru/swat/detail/914/metro-shoes?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/509708b3-ffff-407d-afeb-d25f8a2e97a9-597.jpg,Metro Shoes
9,"Up to

20%",https://allied-web.peekaboo.guru/swat/detail/1976/mrcod?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/mrcodlogo_3c55f6ce-de68-46f3-8b6c-3f1edbafcaed-170.jpeg,Mr.COD
10,"Up to

40%",https://allied-web.peekaboo.guru/swat/detail/1135/pearl-continental?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/2a2fdc96-8149-4d46-9ed4-49a4fd5c76ca-134.jpg,Pearl Continental
11,"Up to

20%",https://allied-web.peekaboo.guru/swat/detail/16587/the-cress?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/thecressjlogo_3eb2b84f-d444-433d-9df1-58832b06e0b3-493.jpeg,The Cress
