,discount_offer,more_details,vendor_image,vendor_name
0,10%,https://allied-web.peekaboo.guru/lahore/detail/28155/airsial?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_0f033942-e706-45d9-b2f9-36ab5ba4c34a-440.jpeg,AIRSIAL
1,"Up to

25%",https://allied-web.peekaboo.guru/lahore/detail/495/al-razi-healthcare?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/91249997-1699-43d1-9534-59aceb09497d.jpg,Al Razi Healthcare
2,15%,https://allied-web.peekaboo.guru/lahore/detail/14239/al-nasar-lab--diagnostic-center?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_91591fc3-8221-4d0d-a717-dea4c1deed0a-46.jpeg,Al-Nasar Lab & Diagnostic Center
3,15%,https://allied-web.peekaboo.guru/lahore/detail/8131/antique-cafe?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/antiquecafelogo_f36cfa9f-d5e5-45f0-8035-2c8df5b6dedb-222.jpeg,Antique Cafe
4,"Up to

30%",https://allied-web.peekaboo.guru/lahore/detail/609/arcadian-cafe?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/LogoRecovered_b485d9d4-8258-493f-be6f-46d2557cf328-505.jpeg,Arcadian Cafe
5,"Up to

30%",https://allied-web.peekaboo.guru/lahore/detail/31224/avari-lahore?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/avarilahorelogo_80f6fdcc-23c7-416d-b50b-3e1d9041a275-258.jpeg,Avari Lahore
6,"Up to

40%",https://allied-web.peekaboo.guru/lahore/detail/1626/bamboo-union?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/bamboounionlogo_bd8f7982-2a52-439b-975f-3d15f34761f4-862.jpeg,Bamboo Union
7,"Up to

40%",https://allied-web.peekaboo.guru/lahore/detail/10/barbq-tonight?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/barbqtonight_91270682-91cf-4d38-a567-2fcfd95e0721-528.jpeg,Bar.B.Q Tonight
8,10%,https://allied-web.peekaboo.guru/lahore/detail/1035/bata?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/batanewlogo_7f8e1052-f0d1-4792-9d5e-be31f951f1c9-429.jpeg,Bata
9,"Up to

20%",https://allied-web.peekaboo.guru/lahore/detail/221/beaute-collection?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/62e96e5e-b126-45f5-815c-7243dc14f139.jpg,Beaute Collection
10,"Up to

35%",https://allied-web.peekaboo.guru/lahore/detail/87/broadway-pizza?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/LogoRecovered_2e26167d-2306-4804-8e06-883cd849aa84-117.jpeg,Broadway Pizza
11,"Up to

40%",https://allied-web.peekaboo.guru/lahore/detail/501/bukhara?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/LogoRecovered_810ab331-7e7f-419b-87ff-597e2fd01604-965.jpeg,Bukhara
