,discount_offer,more_details,vendor_image,vendor_name
0,10%,https://allied-web.peekaboo.guru/quetta/detail/1035/bata?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/batanewlogo_7f8e1052-f0d1-4792-9d5e-be31f951f1c9-429.jpeg,Bata
1,"Up to

40%",https://allied-web.peekaboo.guru/quetta/detail/275/burger-king?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/burgerkinglogo_9a9e910b-021a-4111-9772-6efc517a16cb-776.jpeg,Burger King
2,"Up to

35%",https://allied-web.peekaboo.guru/quetta/detail/226/chughtai-lab?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/chughtailablogo_1e8d2778-ed42-4f43-bb39-c472b1765146-986.jpeg,Chughtai Lab
3,8%,https://allied-web.peekaboo.guru/quetta/detail/1543/daraz?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_22be5f28-d9d4-427d-947e-3c5569a465c6-230.jpeg,Daraz
4,30%,https://allied-web.peekaboo.guru/quetta/detail/1477/dhl?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/7a0d0043-cb5e-4ea4-8dc4-7c54c3b7e520-203.jpg,DHL
5,"Up to

14%",https://allied-web.peekaboo.guru/quetta/detail/27197/healthwire?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/healthwirelogo_68e2d73f-5c9c-4ab1-88d9-d313821568cb-25.jpeg,Healthwire
6,15%,https://allied-web.peekaboo.guru/quetta/detail/13886/laptab?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/2f8a6a08-4713-4605-85c5-df13fd91fa37-753.jpeg,Laptab
7,"Up to

25%",https://allied-web.peekaboo.guru/quetta/detail/264/liberty-books?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/libertybookslogo_d9ffd572-e400-4c57-bab2-a66ef2827dd5-2.jpeg,Liberty Books
8,"Flat

15%",https://allied-web.peekaboo.guru/quetta/detail/914/metro-shoes?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/509708b3-ffff-407d-afeb-d25f8a2e97a9-597.jpg,Metro Shoes
9,"Up to

20%",https://allied-web.peekaboo.guru/quetta/detail/1976/mrcod?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/mrcodlogo_3c55f6ce-de68-46f3-8b6c-3f1edbafcaed-170.jpeg,Mr.COD
10,15%,https://allied-web.peekaboo.guru/quetta/detail/1460/new-yorker-pizza?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/newyorkerpizzalogo_33388eff-cd3f-40ec-bfb7-9f9b0c70040c-870.jpeg,New Yorker Pizza
11,"Up to

20%",https://allied-web.peekaboo.guru/quetta/detail/3070/serene-air?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/1a3d0657-a5e4-40ac-b85f-3172d9747f41-879.jpeg,Serene Air
