,discount_offer,more_details,vendor_image,vendor_name
0,10%,https://allied-web.peekaboo.guru/rawalpindi/detail/1035/bata?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/batanewlogo_7f8e1052-f0d1-4792-9d5e-be31f951f1c9-429.jpeg,Bata
1,"Up to

40%",https://allied-web.peekaboo.guru/rawalpindi/detail/501/bukhara?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/LogoRecovered_810ab331-7e7f-419b-87ff-597e2fd01604-965.jpeg,Bukhara
2,"Up to

40%",https://allied-web.peekaboo.guru/rawalpindi/detail/275/burger-king?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/burgerkinglogo_9a9e910b-021a-4111-9772-6efc517a16cb-776.jpeg,Burger King
3,20%,https://allied-web.peekaboo.guru/rawalpindi/detail/8194/chashni?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/a0f67df7-e6fe-4ac0-9191-8b6cf388f5ea-959.jpeg,Chashni
4,"Up to

35%",https://allied-web.peekaboo.guru/rawalpindi/detail/226/chughtai-lab?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/chughtailablogo_1e8d2778-ed42-4f43-bb39-c472b1765146-986.jpeg,Chughtai Lab
5,15%,https://allied-web.peekaboo.guru/rawalpindi/detail/553/coffee-planet?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/_87b8160f-5888-47d3-b8a2-c481e4cc5a7e-934.jpeg,Coffee Planet
6,8%,https://allied-web.peekaboo.guru/rawalpindi/detail/1543/daraz?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_22be5f28-d9d4-427d-947e-3c5569a465c6-230.jpeg,Daraz
7,30%,https://allied-web.peekaboo.guru/rawalpindi/detail/1477/dhl?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/7a0d0043-cb5e-4ea4-8dc4-7c54c3b7e520-203.jpg,DHL
8,30%,https://allied-web.peekaboo.guru/rawalpindi/detail/94/dominos-pizza-pakistan?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_0f765a66-fcb0-4f91-8b35-6eab53635f7a-905.jpeg,Domino's Pizza Pakistan
9,30%,https://allied-web.peekaboo.guru/rawalpindi/detail/534/fedex?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/fedexlogo_c9108bc6-094a-4d9e-be7b-3d35ca8cc248-646.jpeg,FedEx
10,"Up to

30%",https://allied-web.peekaboo.guru/rawalpindi/detail/282/hardees?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_af7d96f9-bd6a-4cee-bb85-1d8911deca30-796.jpeg,Hardee's
11,"Up to

14%",https://allied-web.peekaboo.guru/rawalpindi/detail/27197/healthwire?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/healthwirelogo_68e2d73f-5c9c-4ab1-88d9-d313821568cb-25.jpeg,Healthwire
