,card_detail,category,city,discount,max_discount_cap,title
0,Bank Alfalah Mastercard Optimus Credit Card,Dining,Karachi,15%,Maximum Discount Cap: PKR 5000,007 ( Lunch Buffet) – Beach Luxury
1,Alfalah Premier VISA Platinum Credit Card,Dining,Karachi,15%,Maximum Discount Cap: PKR 5000,007 ( Lunch Buffet) – Beach Luxury
2,Alfalah Visa Platinum Credit Card,Dining,Karachi,15%,Maximum Discount Cap: PKR 5000,007 ( Lunch Buffet) – Beach Luxury
3,Alfalah Premier VISA Signature Debit Card,Dining,Karachi,15%,Maximum Discount Cap: PKR 5000,007 ( Lunch Buffet) – Beach Luxury
4,Alfalah Visa Signature Debit Card,Dining,Karachi,15%,Maximum Discount Cap: PKR 5000,007 ( Lunch Buffet) – Beach Luxury
5,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
6,Bank Alfalah Premier VISA Signature Debit Card,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
7,Bank Alfalah Visa Signature Debit Card,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
8,Bank Alfalah Visa Platinum Credit Card,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
9,Bank Alfalah American Express Card,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
10,Bank Alfalah Mastercard Optimus Credit Card,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
11,Bank Alfalah Visa Gold Credit Card,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
12,Bank Alfalah Mastercard Titanium Credit Card,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
13,Bank Alfalah Ultra Cashback Card,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
14,Bank Alfalah Visa Classic Credit Card,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
15,Bank Alfalah Debit Cards,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
16,Bank Alfalah Pehchaan Account for Women,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
17,Bank Alfalah Islamic Gold and Classic Debit Card,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
18,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
19,Bank Alfalah Islamic Signature Debit Card,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
20,Bank Alfalah Islamic Powerpack Debit Card,Dining,Jhelum,10%,N/A,"10% off

01-11-2022 to 31-12-2023"
21,Alfalah American Express Card,Dining,Lahore,20%,N/A,4 Points by Sheraton Lahore (Hi tea)
22,Alfalah Mastercard Titanium Credit Card,Dining,Lahore,20%,N/A,4 Points by Sheraton Lahore (Hi tea)
23,Alfalah Premier VISA Platinum Credit Card,Dining,Lahore,20%,N/A,4 Points by Sheraton Lahore (Hi tea)
24,Alfalah Premier VISA Signature Debit Card,Dining,Lahore,20%,N/A,4 Points by Sheraton Lahore (Hi tea)
25,Alfalah Ultra Cashback Card,Dining,Lahore,20%,N/A,4 Points by Sheraton Lahore (Hi tea)
26,Alfalah Visa Classic Credit Card,Dining,Lahore,20%,N/A,4 Points by Sheraton Lahore (Hi tea)
27,Alfalah Visa Gold Credit Card,Dining,Lahore,20%,N/A,4 Points by Sheraton Lahore (Hi tea)
28,Alfalah Visa Platinum Credit Card,Dining,Lahore,20%,N/A,4 Points by Sheraton Lahore (Hi tea)
29,Alfalah Visa Signature Debit Card,Dining,Lahore,20%,N/A,4 Points by Sheraton Lahore (Hi tea)
30,Bank Alfalah Debit Cards,Dining,Lahore,20%,N/A,4 Points by Sheraton Lahore (Hi tea)
31,Bank Alfalah Mastercard Optimus Credit Card,Fashion,"Lahore, Karachi, Islamabad",10%,Maximum Discount Cap: Rs 5000,Accessorize
32,Alfalah Mastercard Titanium Credit Card,Fashion,"Lahore, Karachi, Islamabad",10%,Maximum Discount Cap: Rs 5000,Accessorize
33,Alfalah Premier VISA Platinum Credit Card,Fashion,"Lahore, Karachi, Islamabad",20%,Maximum Discount Cap: Rs 5000,Accessorize
34,Alfalah Premier VISA Signature Debit Card,Fashion,"Lahore, Karachi, Islamabad",20%,Maximum Discount Cap: Rs 5000,Accessorize
35,Alfalah Visa Gold Credit Card,Fashion,"Lahore, Karachi, Islamabad",10%,Maximum Discount Cap: Rs 5000,Accessorize
36,Alfalah Visa Platinum Credit Card,Fashion,"Lahore, Karachi, Islamabad",15%,Maximum Discount Cap: Rs 5000,Accessorize
37,Bank Alfalah Mastercard Optimus Credit Card,Health,"Islamabad, Rawalpindi",20%,N/A,N/A
38,Alfalah American Express Card,Health,"Islamabad, Rawalpindi",20%,N/A,N/A
39,Alfalah Mastercard Titanium Credit Card,Health,"Islamabad, Rawalpindi",20%,N/A,N/A
40,Alfalah Pehchaan Account for Women,Health,"Islamabad, Rawalpindi",20%,N/A,N/A
41,Alfalah Premier VISA Platinum Credit Card,Health,"Islamabad, Rawalpindi",20%,N/A,N/A
42,Alfalah Premier VISA Signature Debit Card,Health,"Islamabad, Rawalpindi",20%,N/A,N/A
43,Alfalah Ultra Cashback Card,Health,"Islamabad, Rawalpindi",20%,N/A,N/A
44,Alfalah Visa Classic Credit Card,Health,"Islamabad, Rawalpindi",20%,N/A,N/A
45,Alfalah Visa Gold Credit Card,Health,"Islamabad, Rawalpindi",20%,N/A,N/A
46,Alfalah Visa Platinum Credit Card,Health,"Islamabad, Rawalpindi",20%,N/A,N/A
47,Alfalah Visa Signature Debit Card,Health,"Islamabad, Rawalpindi",20%,N/A,N/A
48,Bank Alfalah Debit Cards,Health,"Islamabad, Rawalpindi",20%,N/A,N/A
49,Bank Alfalah Premier VISA Platinum Credit Card,Health,Sargodha,20%,N/A,Up to 15% off
50,Bank Alfalah Visa Platinum Credit Card,Health,Sargodha,20%,N/A,Up to 15% off
51,Bank Alfalah American Express Card,Health,Sargodha,20%,N/A,Up to 15% off
52,Bank Alfalah Mastercard Optimus Credit Card,Health,Sargodha,15%,N/A,Up to 15% off
53,Bank Alfalah Visa Gold Credit Card,Health,Sargodha,15%,N/A,Up to 15% off
54,Bank Alfalah Ultra Cashback Card,Health,Sargodha,15%,N/A,Up to 15% off
55,Bank Alfalah Visa Classic Credit Card,Health,Sargodha,15%,N/A,Up to 15% off
56,Bank Alfalah Islamic Signature Debit Card,Health,Sargodha,20%,N/A,Up to 15% off
57,Bank Alfalah Premier VISA Platinum Credit Card,Travel,"Lahore, Karachi, Islamabad, Sialkot, Multan",Up to 15%,N/A,AEG Travel Services
58,Bank Alfalah Premier VISA Signature Debit Card,Travel,"Lahore, Karachi, Islamabad, Sialkot, Multan",Up to 15%,N/A,AEG Travel Services
59,Bank Alfalah Visa Signature Debit Card,Travel,"Lahore, Karachi, Islamabad, Sialkot, Multan",Up to 15%,N/A,AEG Travel Services
60,Bank Alfalah Visa Platinum Credit Card,Travel,"Lahore, Karachi, Islamabad, Sialkot, Multan",Up to 15%,N/A,AEG Travel Services
61,Bank Alfalah American Express Card,Travel,"Lahore, Karachi, Islamabad, Sialkot, Multan",Up to 15%,N/A,AEG Travel Services
62,Bank Alfalah Mastercard Optimus Credit Card,Travel,"Lahore, Karachi, Islamabad, Sialkot, Multan",Up to 15%,N/A,AEG Travel Services
63,Bank Alfalah Visa Gold Credit Card,Travel,"Lahore, Karachi, Islamabad, Sialkot, Multan",Up to 15%,N/A,AEG Travel Services
64,Bank Alfalah Mastercard Titanium Credit Card,Travel,"Lahore, Karachi, Islamabad, Sialkot, Multan",Up to 15%,N/A,AEG Travel Services
65,Bank Alfalah Ultra Cashback Card,Travel,"Lahore, Karachi, Islamabad, Sialkot, Multan",Up to 15%,N/A,AEG Travel Services
66,Bank Alfalah Visa Classic Credit Card,Travel,"Lahore, Karachi, Islamabad, Sialkot, Multan",Up to 15%,N/A,AEG Travel Services
67,Bank Alfalah Islamic Gold and Classic Debit Card,Travel,"Lahore, Karachi, Islamabad, Sialkot, Multan",Up to 15%,N/A,AEG Travel Services
68,Bank Alfalah Islamic Premier Signature Debit Card,Travel,"Lahore, Karachi, Islamabad, Sialkot, Multan",Up to 15%,N/A,AEG Travel Services
69,Bank Alfalah Islamic Signature Debit Card,Travel,"Lahore, Karachi, Islamabad, Sialkot, Multan",Up to 15%,N/A,AEG Travel Services
70,Bank Alfalah Islamic Powerpack Debit Card,Travel,"Lahore, Karachi, Islamabad, Sialkot, Multan",Up to 15%,N/A,AEG Travel Services
71,Bank Alfalah Mastercard Optimus Credit Card,Lifestyle,Nationwide,20%,N/A,N/A
72,Alfalah American Express Card,Lifestyle,Nationwide,20%,N/A,N/A
73,Alfalah Mastercard Titanium Credit Card,Lifestyle,Nationwide,20%,N/A,N/A
74,Alfalah Pehchaan Account for Women,Lifestyle,Nationwide,20%,N/A,N/A
75,Alfalah Premier VISA Platinum Credit Card,Lifestyle,Nationwide,20%,N/A,N/A
76,Alfalah Premier VISA Signature Debit Card,Lifestyle,Nationwide,20%,N/A,N/A
77,Alfalah Ultra Cashback Card,Lifestyle,Nationwide,20%,N/A,N/A
78,Alfalah Visa Classic Credit Card,Lifestyle,Nationwide,20%,N/A,N/A
79,Alfalah Visa Gold Credit Card,Lifestyle,Nationwide,20%,N/A,N/A
80,Alfalah Visa Platinum Credit Card,Lifestyle,Nationwide,20%,N/A,N/A
81,Alfalah Visa Signature Debit Card,Lifestyle,Nationwide,20%,N/A,N/A
82,Bank Alfalah Debit Cards,Lifestyle,Nationwide,20%,N/A,N/A
83,Bank Alfalah Mastercard Optimus Credit Card,Lifestyle,Islamabad,10%,All Items,Afrouzeh
84,Alfalah Premier VISA Signature Debit Card,Lifestyle,Islamabad,10%,All Items,Afrouzeh
85,Alfalah Visa Signature Debit Card,Lifestyle,Islamabad,10%,All Items,Afrouzeh
86,Bank Alfalah Debit Cards,Lifestyle,Islamabad,10%,All Items,Afrouzeh
87,Alfalah Premier VISA Signature Debit Card,Shopping,Lahore,10%,N/A,N/A
88,Alfalah Visa Signature Debit Card,Shopping,Lahore,10%,N/A,N/A
89,Bank Alfalah Debit Cards,Shopping,Lahore,10%,N/A,N/A
90,Bank Alfalah Mastercard Optimus Credit Card,Dining,Karachi,20%,Maximum Discount Cap: Rs 5000,Al Bustan – Movenpick
91,Alfalah Premier VISA Platinum Credit Card,Dining,Karachi,20%,Maximum Discount Cap: Rs 5000,Al Bustan – Movenpick
92,Alfalah Visa Platinum Credit Card,Dining,Karachi,20%,Maximum Discount Cap: Rs 5000,Al Bustan – Movenpick
93,Alfalah Visa Gold Debit Card,Dining,Karachi,20%,Maximum Discount Cap: Rs 5000,Al Bustan – Movenpick
94,Alfalah Mastercard Titanium Credit Card,Dining,Karachi,20%,Maximum Discount Cap: Rs 5000,Al Bustan – Movenpick
95,Alfalah Premier VISA Signature Debit Card,Dining,Karachi,20%,Maximum Discount Cap: Rs 5000,Al Bustan – Movenpick
96,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Faisalabad,20%,N/A,Al Haaj Bundoo Khan
97,Bank Alfalah Premier VISA Signature Debit Card,Dining,Faisalabad,20%,N/A,Al Haaj Bundoo Khan
98,Bank Alfalah Visa Platinum Credit Card,Dining,Faisalabad,20%,N/A,Al Haaj Bundoo Khan
99,Bank Alfalah American Express Card,Dining,Faisalabad,20%,N/A,Al Haaj Bundoo Khan
100,Bank Alfalah Mastercard Optimus Credit Card,Dining,Faisalabad,15%,N/A,Al Haaj Bundoo Khan
101,Bank Alfalah Visa Gold Credit Card,Dining,Faisalabad,15%,N/A,Al Haaj Bundoo Khan
102,Bank Alfalah Ultra Cashback Card,Dining,Faisalabad,10%,N/A,Al Haaj Bundoo Khan
103,Bank Alfalah Visa Classic Credit Card,Dining,Faisalabad,10%,N/A,Al Haaj Bundoo Khan
104,Bank Alfalah Islamic Gold and Classic Debit Card,Dining,Faisalabad,15%,N/A,Al Haaj Bundoo Khan
105,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Faisalabad,20%,N/A,Al Haaj Bundoo Khan
106,Bank Alfalah Debit Cards,Other,Lahore,10%,N/A,N/A
107,Bank Alfalah Mastercard Optimus Credit Card,Other,Lahore,15%,15% discount on All bank Alfalah cards. Valid all year round,Al-Nasar Lab and diagnostic center
108,Alfalah American Express Card,Other,Lahore,15%,15% discount on All bank Alfalah cards. Valid all year round,Al-Nasar Lab and diagnostic center
109,Alfalah Mastercard Titanium Credit Card,Other,Lahore,15%,15% discount on All bank Alfalah cards. Valid all year round,Al-Nasar Lab and diagnostic center
110,Alfalah Pehchaan Account for Women,Other,Lahore,15%,15% discount on All bank Alfalah cards. Valid all year round,Al-Nasar Lab and diagnostic center
111,Alfalah Premier VISA Platinum Credit Card,Other,Lahore,15%,15% discount on All bank Alfalah cards. Valid all year round,Al-Nasar Lab and diagnostic center
112,Alfalah Premier VISA Signature Debit Card,Other,Lahore,15%,15% discount on All bank Alfalah cards. Valid all year round,Al-Nasar Lab and diagnostic center
113,Alfalah Ultra Cashback Card,Other,Lahore,15%,15% discount on All bank Alfalah cards. Valid all year round,Al-Nasar Lab and diagnostic center
114,Alfalah Visa Classic Credit Card,Other,Lahore,15%,15% discount on All bank Alfalah cards. Valid all year round,Al-Nasar Lab and diagnostic center
115,Alfalah Visa Gold Credit Card,Other,Lahore,15%,15% discount on All bank Alfalah cards. Valid all year round,Al-Nasar Lab and diagnostic center
116,Alfalah Visa Platinum Credit Card,Other,Lahore,15%,15% discount on All bank Alfalah cards. Valid all year round,Al-Nasar Lab and diagnostic center
117,Alfalah Visa Signature Debit Card,Other,Lahore,15%,15% discount on All bank Alfalah cards. Valid all year round,Al-Nasar Lab and diagnostic center
118,Bank Alfalah Debit Cards,Other,Lahore,15%,15% discount on All bank Alfalah cards. Valid all year round,Al-Nasar Lab and diagnostic center
119,Alfalah Premier VISA Signature Debit Card,Shopping,Gujranwala,5%,Bakery Items Only,N/A
120,Alfalah Visa Signature Debit Card,Shopping,Gujranwala,5%,Bakery Items Only,N/A
121,Bank Alfalah Debit Cards,Shopping,Gujranwala,5%,Bakery Items Only,N/A
122,Alfalah Premier VISA Signature Debit Card,Lifestyle,Lahore,10%,All Items,N/A
123,Alfalah Visa Signature Debit Card,Lifestyle,Lahore,10%,All Items,N/A
124,Bank Alfalah Debit Cards,Lifestyle,Lahore,10%,All Items,N/A
125,Bank Alfalah Debit Cards,Dining,"Lahore, Faisalabad, Multan, Bahawalpur",Up To 10% On Purchase Of 2000,N/A,N/A
126,Bank Alfalah Mastercard Optimus Credit Card,Dining,Lahore,15%,N/A,N/A
127,Bank Alfalah Mastercard Optimus Credit Card,Dining,Lahore,15%,N/A,N/A
128,Bank Alfalah Mastercard Optimus Credit Card,Other,Karachi,25 % Only Dental Services,N/A,N/A
129,Bank Alfalah Debit Cards,Other,Karachi,25 % Only Dental Services,N/A,N/A
130,Bank Alfalah Mastercard Optimus Credit Card,Dining,Islamabad,10%,N/A,American Steak House
131,Alfalah Pehchaan Account for Women,Dining,Islamabad,10%,N/A,American Steak House
132,Alfalah Premier VISA Signature Debit Card,Dining,Islamabad,10%,N/A,American Steak House
133,Alfalah Visa Signature Debit Card,Dining,Islamabad,10%,N/A,American Steak House
134,Bank Alfalah Debit Cards,Dining,Islamabad,10%,N/A,American Steak House
135,Bank Alfalah Mastercard Optimus Credit Card,Lifestyle,Lahore,10%,N/A,N/A
136,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Lahore,25%,N/A,Arcadian Café
137,Bank Alfalah Premier VISA Signature Debit Card,Dining,Lahore,25%,N/A,Arcadian Café
138,Bank Alfalah Visa Signature Debit Card,Dining,Lahore,20%,N/A,Arcadian Café
139,Bank Alfalah Visa Platinum Credit Card,Dining,Lahore,20%,N/A,Arcadian Café
140,Bank Alfalah Islamic Premier Signature Debit Card,Dining,Lahore,25%,N/A,Arcadian Café
141,Bank Alfalah Islamic Signature Debit Card,Dining,Lahore,20%,N/A,Arcadian Café
142,Bank Alfalah Islamic Powerpack Debit Card,Dining,Lahore,20%,N/A,Arcadian Café
143,Bank Alfalah Premier VISA Platinum Credit Card,Dining,Abbottabad,10%,N/A,N/A
144,Bank Alfalah Premier VISA Signature Debit Card,Dining,Abbottabad,10%,N/A,N/A
145,Bank Alfalah Visa Signature Debit Card,Dining,Abbottabad,10%,N/A,N/A
146,Bank Alfalah Visa Platinum Credit Card,Dining,Abbottabad,10%,N/A,N/A
147,Bank Alfalah American Express Card,Dining,Abbottabad,10%,N/A,N/A
148,Bank Alfalah Mastercard Optimus Credit Card,Dining,Abbottabad,10%,N/A,N/A
