dealId,keywords,title,startDate,endDate,poweredBy,percentageValue,targetEntityId,redeemableCount,orderType,expiresIn,image,description,targetBranches,onlineAvailable,likedByMe,dislikedByMe,targetEntityName,targetEntityLogo,isRedeemable,redeemedCount,redemptionDetails,likeCount,dislikeCount
91063,[''],FLAT 50% off on Everything,2023-01-12T18:10:00,2023-01-22T23:59:00,NONE,50,805,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals_8e8a66f0-4d56-4fbd-841d-a3082b74bb7d-314.jpeg,"* Annual Winter Sale just got bigger!
* Enjoy Annual Winter Sale with Flat 50% Off on everything
* Available in-stores and online at https://bit.ly/3Xl1IgC
* Terms & Conditions apply","{'359180': 'Bahria Town Islamabad Branch', '359182': 'Centaurus Mall Islamabad Branch', '359183': 'F-7 Markaz Islamabad Branch', '359184': 'F-10  Islamabad Branch', '359185': 'Giga Mall Islamabad Branch'}",True,false,false,Shahnameh,https://d2liqplnt17rh6.cloudfront.net/logoImages/LogoRecovered_e976a282-3019-4248-b673-6acbbe151449-678.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
91062,[''],UP TO 30% off on Winter Stock,2023-01-12T18:05:00,2023-01-15T23:59:00,NONE,30,7138,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals_a13994b3-b99f-42ad-b388-7552284b0c66-211.jpeg,"* Mega discounts on the Winter Stock!
* Uniworth’s Winter Week Sale is giving you a chance to shop for Flat 15% & 30% Off.
* Visit the stores or shop online
* https://bit.ly/3GzOndw
* Terms & Conditions apply","{'41579': 'F-7 Markaz Islamabad Branch', '211299': ' F 10 Markaz Islamabad Branch', '211300': ' F-6 Markaz Islamabad Branch', '211304': 'PWD Rwalpindi Branch', '347025': 'Giga Mall', '347026': 'The Centaurus Mall Islamabad Branch', '347027': 'Beverly Centre Islamabad Branch', '347029': 'Safa Gold Mall Islamabad Branch'}",True,false,false,Uniworth Shop,https://d2liqplnt17rh6.cloudfront.net/logoImages/uni_7f5ae5b0-34ea-46ff-b7b8-78fd06bf413f-40.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
91060,[''],UP TO 51% off,2023-01-12T17:59:00,2023-01-22T23:59:00,NONE,51,1578,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals_b13f294e-4597-47c6-8db2-480d3b1c6d13-393.jpeg,"* Stylo's most awaited Winter Sale of Up to 51% Off is going live
* Rush to your nearest Stylo Shoes outlet or shop online at https://stylo.pk/
* Terms & Conditions apply","{'6172': 'Super Market Islamabad Branch', '6173': 'Sajid Plaza Islamabad Branch', '6174': 'Centaurus Mall Islamabad Branch', '101583': 'Giga Mall Islamabad Branch'}",True,false,false,Stylo Shoes,https://d2liqplnt17rh6.cloudfront.net/logoImages/692209df-a51e-4d9a-bcf7-54f134822a97-449.jpg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
91058,[''],FLAT 50% off on Entire Stock,2023-01-12T17:54:00,2023-01-22T23:59:00,NONE,50,1076,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals_642b6278-5e51-4cd3-a8d3-4356578d43af-312.jpeg,"* Cougar End of Winter Season Sale is live now. 
* Get Flat 50% Off on entire collection incorporating versatile and comfy articles
* Rush over to your nearest store or shop online https://bit.ly/31q2uRV
* Terms & Conditions apply","{'3907': 'Centaurus Mall Islamabad Branch', '3908': 'Safa Gold Mall Islamabad Branch', '3909': 'F-10 Markaz Islamabad Branch', '101596': 'Giga Mall Islamabad Branch'}",True,false,false,Cougar,https://d2liqplnt17rh6.cloudfront.net/logoImages/f5ef4957-419e-4031-907d-fcfbb1f9f9aa-510.jpg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
91057,[''],FLAT 50% off on Everything,2023-01-12T17:49:00,2023-01-22T23:59:00,NONE,50,1071,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals_fbd5aac1-a179-4df4-b117-3e81ed71930e-841.jpeg,"* Shop the sale and save more on your favorites!
* Annual Winter Sale bring Flat 50% Off on everything
* Sale is Live online and In-stores
* https://www.leisureclub.pk/
* Terms & Conditions apply","{'3860': 'City Centre Islamabad Branch', '3861': 'F-10 Markaz Islamabad Branch', '3862': 'Centaurus Mall Islamabad Branch', '1154406': 'WTC Giga Mall Islamabad Branch', '1154407': 'Amazon Mall Islamabad Branch'}",True,false,false,Leisure Club,https://d2liqplnt17rh6.cloudfront.net/logoImages/37e7d557-7d72-4ec1-80fb-068bf8f0d33a-756.jpg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
91056,[''],UP TO 50% off,2023-01-12T17:42:00,2023-01-22T23:59:00,NONE,50,28080,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals_342be59f-0ec4-41ab-9012-75d0474fc77d-544.jpeg,"* Histreet is offering Hot Winter Offer with Flat 50% and Flat 30% Off
* Grab hurry up and enjoy this super offer on your favorite product
* Available In-stores and online at https://histreet.pk/
* Terms & Conditions apply",{},True,false,false,Hi Street,https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_5073b63d-3696-4b3e-905e-5293ba5af85a-502.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
91040,[''],UP TO 50% off,2023-01-12T10:12:00,2023-01-15T23:59:00,NONE,50,192,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals3_d51ad21f-467e-48dc-80d9-bc8c3f0bd73c-875.jpeg,"* 1st step shoes & bags brings Winter Sale of Upto 50% Off on the Entire Winter Collection. 
* Sale goes live online and in stores.
* Shop online at https://www.1ststep.pk
* Terms & Conditions apply","{'435': 'Centaurus Mall Islamabad Branch', '436': 'F-10 Markaz Islamabad Branch'}",True,false,false,1st Step Shoes & Bags,https://d2liqplnt17rh6.cloudfront.net/logoImages/5b66d964-d14a-4921-bdb5-a83c12a2ce9d.jpg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
91039,[''],FLAT 40% off on Entire Stock,2023-01-12T09:59:00,2023-01-15T23:59:00,NONE,40,1064,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals2_42aa0112-40e2-425e-a7d2-6d355ab9e77c-515.jpeg,"* Mark your calendar for the biggest Sale of this season
* Flat 40% off on the entire stock  
* in stores & online 
* https://www.ittehadtextiles.com
* Terms & Conditions apply",{},True,false,false,Ittehad,https://d2liqplnt17rh6.cloudfront.net/logoImages/Ittehad_ee90cc14-6acd-4474-9723-e90065984992-577.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
91038,[''],FLAT 50% off,2023-01-12T09:50:00,2023-01-15T23:59:00,NONE,50,14453,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals1_02b6c4a8-2c22-49a7-aec6-5f67857d77a3-992.jpeg,"* The winter mega sale Flat 50% off on all Unstitched Premium and Pret Collection
* What are you waiting for
* Grab your favorite outfits now and avail the biggest sale of the season
* In-stores & online
* https://tinyurl.com/4zk4j75m
* Terms & Conditions apply",{},True,false,false,Ace Galleria,https://d2liqplnt17rh6.cloudfront.net/logoImages/ace_8f1c3b31-fbff-43fb-a8a7-a11d3e9a4263-503.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
91033,[''],FLAT 50% off,2023-01-11T17:42:00,2023-01-15T23:59:00,NONE,50,14889,0,OUTLET,234588,https://d2liqplnt17rh6.cloudfront.net/dealImages/Deals_3c31a16b-7e60-4c8d-9ccc-e9b5f3136c5f-153.jpeg,"* Winter Sale Flat 50% Off is now live on Hope Not Out
* Rush to our website to get your favorite designs before they run out
* Shop Now: https://www.hopenotout.com/
* Terms & Conditions apply",{},True,false,false,Hope Not Out,https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_95edee5e-21fb-4c19-a4cd-24b31a775357-907.jpeg,False,0,"{'isRedeemable': False, 'redeemableCount': 0, 'redeemedCount': 0}",,
