,discount_offer,more_details,vendor_image,vendor_name
0,"Up to

40%",https://allied-web.peekaboo.guru/islamabad/detail/1519/1969--time-goes-on?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_c11b745e-8b03-4942-9775-8feef2d6d65b-608.jpeg,1969 & Time Goes On
1,"Up to

25%",https://allied-web.peekaboo.guru/islamabad/detail/65028/advanced-international-hospital?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/logo2Recovered_3fa45ea3-23e4-4815-874f-6dff1255465c-85.jpeg,Advanced International Hospital
2,10%,https://allied-web.peekaboo.guru/islamabad/detail/28155/airsial?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_0f033942-e706-45d9-b2f9-36ab5ba4c34a-440.jpeg,AIRSIAL
3,15%,https://allied-web.peekaboo.guru/islamabad/detail/14239/al-nasar-lab--diagnostic-center?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_91591fc3-8221-4d0d-a717-dea4c1deed0a-46.jpeg,Al-Nasar Lab & Diagnostic Center
4,15%,https://allied-web.peekaboo.guru/islamabad/detail/258/american-steak-house?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/4acbe71f-7b1e-4f13-b97b-86d27d7aab4e-962.jpeg,American Steak House
5,30%,https://allied-web.peekaboo.guru/islamabad/detail/34199/angeethi---legend-hotels?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/angeethilegendhotellogo_91f81543-cb31-4113-97f6-7df87a6e73f5-786.jpeg,Angeethi - Legend Hotels
6,30%,https://allied-web.peekaboo.guru/islamabad/detail/34203/aroma-cafe---legend-hotels?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/aromacafelegendhotelslogo_b3056b5a-f909-4a4b-89ad-c9c36115d006-781.jpeg,Aroma Cafe - Legend Hotels
7,10%,https://allied-web.peekaboo.guru/islamabad/detail/1035/bata?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/batanewlogo_7f8e1052-f0d1-4792-9d5e-be31f951f1c9-429.jpeg,Bata
8,"Up to

20%",https://allied-web.peekaboo.guru/islamabad/detail/221/beaute-collection?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/62e96e5e-b126-45f5-815c-7243dc14f139.jpg,Beaute Collection
9,"Up to

40%",https://allied-web.peekaboo.guru/islamabad/detail/11101/blt-restaurant?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/BLTLogo_b7786630-3aba-4d2f-81d1-6986d052a960-373.jpeg,BLT Restaurant
10,"Up to

35%",https://allied-web.peekaboo.guru/islamabad/detail/87/broadway-pizza?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/LogoRecovered_2e26167d-2306-4804-8e06-883cd849aa84-117.jpeg,Broadway Pizza
11,15%,https://allied-web.peekaboo.guru/islamabad/detail/28104/bukhara-express?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/bukharaexpresslogo_312eb69a-d741-470f-813b-5a2f4d0f4791-180.jpeg,Bukhara Express
