,discount_offer,more_details,vendor_image,vendor_name
0,10%,https://allied-web.peekaboo.guru/karachi/detail/28155/airsial?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_0f033942-e706-45d9-b2f9-36ab5ba4c34a-440.jpeg,AIRSIAL
1,"Up to

60%",https://allied-web.peekaboo.guru/karachi/detail/297/almas-collection-jewellers?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/almas29070b4c42574d188bdce749e0dd2228174_27ccfd6f-0b30-4282-a53e-4b6ea8d161a6-188.jpg,Almas Collection Jewellers
2,20%,https://allied-web.peekaboo.guru/karachi/detail/16467/altamash-general-hospital?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/altamash_d0270fd1-9d94-445e-a4ce-9cb45eed8ac1-138.jpeg,Altamash General Hospital
3,15%,https://allied-web.peekaboo.guru/karachi/detail/516/asia-live?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/db8cea97-2573-4d1e-8d4f-6381acf4ddfb.jpg,Asia Live
4,"Up to

30%",https://allied-web.peekaboo.guru/karachi/detail/31227/avari-towers?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/avaritowerskarachilogo_c8a9f981-02c2-45c7-9ec8-6fd39c981322-540.jpeg,Avari Towers
5,"Up to

40%",https://allied-web.peekaboo.guru/karachi/detail/10/barbq-tonight?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/barbqtonight_91270682-91cf-4d38-a567-2fcfd95e0721-528.jpeg,Bar.B.Q Tonight
6,15%,https://allied-web.peekaboo.guru/karachi/detail/53744/barista-art-coffee?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/ArtCoffee_355d618f-2438-4568-ba0c-10e869fa3ae3-283.jpeg,Barista Art Coffee
7,10%,https://allied-web.peekaboo.guru/karachi/detail/1035/bata?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/batanewlogo_7f8e1052-f0d1-4792-9d5e-be31f951f1c9-429.jpeg,Bata
8,"Up to

30%",https://allied-web.peekaboo.guru/karachi/detail/207/beach-luxury-hotel?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/beachluxurylogo_1b3db1dc-0b68-4999-80ad-74c8f691c2ba-921.jpeg,Beach Luxury Hotel
9,"Up to

20%",https://allied-web.peekaboo.guru/karachi/detail/221/beaute-collection?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/62e96e5e-b126-45f5-815c-7243dc14f139.jpg,Beaute Collection
10,15%,https://allied-web.peekaboo.guru/karachi/detail/663/berlin-doner--gyro?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/berlin_d7e9f495-0d42-4006-a8e5-0b28a20bcc85-782.jpeg,Berlin Doner & Gyro
11,15%,https://allied-web.peekaboo.guru/karachi/detail/8811/big-bash?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/4755a762-39da-4e09-9086-3e7bfdfd489b-969.jpeg,Big Bash
