,discount_offer,more_details,vendor_image,vendor_name
0,10%,https://allied-web.peekaboo.guru/sialkot/detail/28155/airsial?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/logo_0f033942-e706-45d9-b2f9-36ab5ba4c34a-440.jpeg,AIRSIAL
1,10%,https://allied-web.peekaboo.guru/sialkot/detail/1035/bata?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/batanewlogo_7f8e1052-f0d1-4792-9d5e-be31f951f1c9-429.jpeg,Bata
2,"Up to

35%",https://allied-web.peekaboo.guru/sialkot/detail/226/chughtai-lab?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/chughtailablogo_1e8d2778-ed42-4f43-bb39-c472b1765146-986.jpeg,Chughtai Lab
3,8%,https://allied-web.peekaboo.guru/sialkot/detail/1543/daraz?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_22be5f28-d9d4-427d-947e-3c5569a465c6-230.jpeg,Daraz
4,15%,https://allied-web.peekaboo.guru/sialkot/detail/142/depilex?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/depilexnewlogo_ec12d984-d33d-4f37-9515-dff1c54c6f6c-770.jpeg,Depilex
5,30%,https://allied-web.peekaboo.guru/sialkot/detail/1477/dhl?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/7a0d0043-cb5e-4ea4-8dc4-7c54c3b7e520-203.jpg,DHL
6,30%,https://allied-web.peekaboo.guru/sialkot/detail/94/dominos-pizza-pakistan?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_0f765a66-fcb0-4f91-8b35-6eab53635f7a-905.jpeg,Domino's Pizza Pakistan
7,"Up to

25%",https://allied-web.peekaboo.guru/sialkot/detail/306/dr-essa-laboratory--diagnostic-centre?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/essalabnewlogo2_b5d23429-fb91-41da-95e6-b3ac6ed6c22b-714.jpeg,Dr Essa Laboratory & Diagnostic Centre
8,30%,https://allied-web.peekaboo.guru/sialkot/detail/534/fedex?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/fedexlogo_c9108bc6-094a-4d9e-be7b-3d35ca8cc248-646.jpeg,FedEx
9,"Up to

30%",https://allied-web.peekaboo.guru/sialkot/detail/282/hardees?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/Logo_af7d96f9-bd6a-4cee-bb85-1d8911deca30-796.jpeg,Hardee's
10,"Up to

14%",https://allied-web.peekaboo.guru/sialkot/detail/27197/healthwire?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/healthwirelogo_68e2d73f-5c9c-4ab1-88d9-d313821568cb-25.jpeg,Healthwire
11,15%,https://allied-web.peekaboo.guru/sialkot/detail/13886/laptab?categoryId=_all,https://d2liqplnt17rh6.cloudfront.net/logoImages/2f8a6a08-4713-4605-85c5-df13fd91fa37-753.jpeg,Laptab
