,banks,discount_description,vendor_image,vendor_name
0,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 10% off at 1st Step with Faysal Bank,https://propakistani.pk/tools/wp-content/uploads/2018/10/1st-step.png,1st Step
1,"[{'bank_name': 'soneri-bank', 'uri': 'https://propakistani.pk/tools/bank/soneri-bank/'}]",Buy One Regular/Large Pizza and Get One Free,https://propakistani.pk/tools/wp-content/uploads/2018/10/24-WallStreet-Pizza.jpg,24 WallStreet Pizza
2,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 20% off at 3D Lifestyle with Faysal Bank,https://propakistani.pk/tools/wp-content/uploads/2018/10/3D-lifestyle.jpg,3D Lifestyle
3,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 40% discount on membership and monthly packages at ABS Wellness Club with Faysal Bank,https://propakistani.pk/tools/wp-content/uploads/2018/10/ABS-wellness-club.jpg,ABS Wellness Club
4,"[{'bank_name': 'hbl', 'uri': 'https://propakistani.pk/tools/bank/hbl/'}]",Enjoy up to 15% off on Accessorize with HBL,https://propakistani.pk/tools/wp-content/uploads/2018/10/Accessorize.jpg,Accessorize
5,"[{'bank_name': 'hbl', 'uri': 'https://propakistani.pk/tools/bank/hbl/'}]",Enjoy up to 20% off on Afghan Carpet with HBL,https://propakistani.pk/tools/wp-content/uploads/2018/10/Afghan-Carpet.jpg,Afghan Carpet
6,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}, {'bank_name': 'hbl', 'uri': 'https://propakistani.pk/tools/bank/hbl/'}]",Enjoy up to 7% off on Agoda,https://propakistani.pk/tools/wp-content/uploads/2018/10/agoda.jpg,Agoda
7,"[{'bank_name': 'ubl-bank', 'uri': 'https://propakistani.pk/tools/bank/ubl-bank/'}]",Enjoy up to 20% off on AKS Jewelery with UBL.,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",AKS Jewelery
8,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}]",Enjoy up to 15% off at Al Noor Diagnostic Centre with Faysal Bank,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Al Noor Diagnostic Centre
9,"[{'bank_name': 'faysal-bank', 'uri': 'https://propakistani.pk/tools/bank/faysal-bank/'}, {'bank_name': 'meezan-bank', 'uri': 'https://propakistani.pk/tools/bank/meezan-bank/'}]",Enjoy up to 25% off at Al Razi Healthcare,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%200%200'%3E%3C/svg%3E",Al Razi Healthcare
